"Data Source Retrieval Date","Data Release Version Date","Data Release Description and Version Number","Study Reference Number","Study Name","Location or Station ID","Job Task or Place","Additional Exposure Info","Interpretive Sample ID","Analytical Sample ID","Laboratory Sample ID","Sample Date","Pump Configuration","Pre-Calibration Flow Rate","Post-Calibration Flow Rate","Flow Rate Unit","Pump Period","Sample Period","Period Unit","Pump ID","Dry Calibrator Serial No","Sample Type","Field Matrix","Field Sample Material","Chemical Name","Chemical Code","Chemical Type","Concentration","Unit","Qualifiers","Validation Level","Nondetect Flag","Analytical Method","Date Analyzed","Lab","Sample Comment","Method of Decontamination","Cleaning Product","Cleaning Product Other Description","Surface Area Covered","Respirator Half","Respirator Full","Respirator SCBA","Respirator Airline","Respirator Mask","Respirator None","Respirator Other Description","Cartridge p100","Cartridge ov","Cartridge Other","Cartridge Other Description","Hands Cotton","Hands Leather","Hands Abrasion","Hands Nitrile","Hands Nitrile Type","Hands PVC","Hands PVC Type","Hands Other","Hands Other Description","Hands None","Feet Steel","Feet Leather","Feet Rubber","Feet Covers","Feet None","Feet Other","Feet Other Description","Hearing Plugs","Hearing Plugs Type","Hearing Muffs","Hearing Muffs_type","Hearing None","Hearing Other","Hearing Other Description","Eyes Glasses","Eyes Goggles","Eyes Shield","Eyes None","Eyes Other","Eyes Other Description","Head Hat","Body Frc","Body Apron","Body Sleeves","Body Pants","Body None","Body Visible","Barrier Suit","Body Impervious Suit","Body Waders","Body Other","Body Other Type"
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","543140","543140","","2010-09-10","cyclone","1646","1650","mL/min","583","583","min","868884","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.23","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (<100psi)","Other","Accell","<10%","N","N","N","N","N","Y","","N","N","Y","N/A","N","N","N","Y","","N","","N","","N","N","N","Y","N","N","N","","N","","N","","Y","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","N","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","546265","546265","","2010-09-11","tp","2005","2013","mL/min","599","597","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.1","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","PES-51","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","Y","N","N","","N","","N","","Y","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","546269","546269","","2010-09-10","tp","2038","1973","mL/min","512","510","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.097","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51","50% to 74%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","Y","N","N","","Y","G.A.R.","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","546383","546383","","2010-09-19","cyclone","1583","2011","mL/min","390","390","min","633525","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.14","MG/M3","UJ","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (<100psi)","Other","Accell & water","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","N","Y","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","547269","547269","","2010-09-09","cyclone","1633","1455","mL/min","404","439","min","827899","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.16","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES 51","75% to 100%","N","N","N","N","Y","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","Y","N","N","","Y","E.A.R.","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Gross Vessel Decon","","545493","545493","","2010-10-07","tp","1991.5","1923.4000000000001","mL/min","415","385","min","633525","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.58","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (>3000psi)","Other","Limalene","50% to 74%","N","Y","N","N","N","N","","N","Y","N","","N","N","N","N","","Y","","N","","N","N","N","N","N","N","N","","N","","N","","N","N","","N","N","N","N","N","","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Gross Vessel Decon","","546202","546202","","2010-10-08","tp","1984.4000000000001","1972","mL/min","118","118","min","868884","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.84","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","no water see comments","50% to 74%","N","Y","N","N","N","N","","N","Y","N","","N","N","N","N","","Y","","N","","N","N","N","N","N","N","N","","Y","","N","","N","N","","N","N","N","N","Y","Full Faced respirator","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Non-Vessel Decon","Cleaning decon site (moving excess liquid)","547267","547267","","2010-09-10","cyclone","1595","1533","mL/min","484","522","min","827899","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.13","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51","50% to 74%","N","Y","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","Y","N","N","","Y","EAR","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Non-Vessel Decon","Confined space decon","545446","545446","","2010-09-28","tp","1708","3239","mL/min","211","211","min","","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.19","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","Simple Green","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","N","Y","Y","N","N","","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Non-Vessel Decon","CSA","548656","548656","","2010-09-24","cyclone","1614","1570","mL/min","457","588","min","827899","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.14","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Water Only","","<10%","N","N","N","N","N","Y","","N","N","N","","Y","N","N","Y","","N","","N","","N","Y","N","N","N","N","N","","Y","","N","","N","N","","Y","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","Y","work cloth"
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Not Specified","","541566","541566","","2010-09-17","cyclone","1600","1618","mL/min","366","366","min","644321","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.17","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (>3000psi)","Other","Accell","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","N","","N","","N","","N","N","N","N","N","N","N","","N","","N","","N","N","","N","N","N","N","N","","N","N","N","N","N","N","N","N","N","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Not Specified","","543119","543119","","2010-09-17","tp","2044","2041","mL/min","385","385","min","868884","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.49","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Not Specified","Other","Accell","Not Specified","N","N","N","N","N","N","","N","N","N","","N","N","N","N","","N","","N","","N","N","N","N","N","N","N","","N","","N","","N","N","","N","N","N","N","N","","N","N","N","N","N","N","N","N","N","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Personnel Decon","","546259","546259","","2010-09-09","tp","1988","2010","mL/min","493","475","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.1","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51","75% to 100%","N","N","N","N","Y","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","N","N","N","","Y","E.A.R","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Personnel Decon","","547266","547266","","2010-09-11","cyclone","1646","1669","mL/min","623","623","min","827899","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.097","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51","10% to 24%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","Y","Latex","N","Y","N","Y","Y","N","N","","N","","N","","Y","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","538981","538981","","2010-08-15","tp","1994","1994","mL/min","236","236","min","12822","119539","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.21","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","H20 & greensol","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","N","N","N","N","N","N","","N","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","538993","538993","","2010-09-20","tp","2001.900024","1955","mL/min","475","475","min","13494","119539","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.28","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","H2O + Greensol","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","Y","N","N","N","","N","","N","","N","N","","N","Y","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","538998","538998","","2010-08-26","tp","2001.099976","1976.5999999999999","mL/min","335","335","min","13494","119539","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.18","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Not Specified","","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","N","N","N","N","N","N","","N","","N","","N","N","","N","Y","Y","N","N","","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","541038","541038","","2010-08-26","cyclone","1600.3","1577","mL/min","421","421","min","917575","119539","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.15","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Water Only","","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","Y","N","N","N","","N","","N","","N","N","","Y","Y","Y","N","N","","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","542068","542068","","2010-09-07","tp","2009","1855","mL/min","505","505","min","691634","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.1","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","Accell","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","Y","","N","","N","Y","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","8th St Decon Yard Biloxi MS","Boom Decon","","536620","536620","","2010-08-04","tp","2010","1960","mL/min","608","608","min","691639","119614","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","1","MG/M3","J","Level II","N","NIOSH_5524","","GALSON","","Not Specified","Not Specified","","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","Y","Latex Linner","N","Y","N","Y","N","N","N","","Y","Max NNR 53","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","N","N","Y","Tyvek"
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","8th St Decon Yard Biloxi MS","Boom Decon","","536622","536622","","2010-08-05","tp","2040","2050","mL/min","672","672","min","691648","119614","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.073","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51 50/50 w/ Water by spray bottle","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","Outer","N","","Y","Latex Inner","N","Y","N","Y","N","N","N","","Y","MAX NNR33","N","","N","N","","Y","N","N","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","Ameila Decon","Equipment Decon","","553127","553127","","2010-10-16","tp","2031","2029","mL/min","155","329","min","799957","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.32","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","Dawn; no other chemicals","25% to 49%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","Y","Latex","N","Y","N","Y","Y","N","N","","N","","N","","N","N","","Y","Y","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","Amelia","Detailed Vessel Decon","","548174","548174","","2010-09-19","tp","2047","2054","mL/min","637","705","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.58","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","OMI 500","50% to 74%","N","N","N","N","N","Y","","N","N","Y","N?A","N","N","N","Y","","N","","N","","N","Y","N","Y","N","N","N","","N","","N","","Y","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","Amelia","Detailed Vessel Decon","","548176","548176","","2010-09-20","tp","2028","2029","mL/min","627","627","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.28","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Not Specified","Other","PES -51","10% to 24%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","Y","N","N","N","","N","","N","","N","N","","Y","N","N","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","Amelia","Detailed Vessel Decon","","548646","548646","","2010-09-20","cyclone","1596","1591","mL/min","651","","min","827899","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.081","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES 51","None","N","N","N","N","N","N","","N","N","N","","N","N","N","N","","N","","Y","Latex","N","Y","N","N","N","N","N","","N","","N","","N","N","","Y","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N",""
